mix compile
-------------------------------------------------------------------
server2-0066 role=LEADER    term=361 !inf "Become leader"
server5-0027 role=LEADER    term=362 !inf "Become leader"
server5-0028 role=LEADER    term=364 !inf "Become leader"
server3-0024 role=LEADER    term=366 !inf "Become leader"
server2-0067 role=LEADER    term=367 !inf "Become leader"
server5-0029 role=LEADER    term=369 !inf "Become leader"
server2-0068 role=LEADER    term=370 !inf "Become leader"
server5-0030 role=LEADER    term=372 !inf "Become leader"
server2-0069 role=LEADER    term=374 !inf "Become leader"
server4-0029 role=LEADER    term=375 !inf "Become leader"
server3-0025 role=LEADER    term=376 !inf "Become leader"
server2-0070 role=LEADER    term=378 !inf "Become leader"
server4-0030 role=LEADER    term=380 !inf "Become leader"
server2-0071 role=LEADER    term=382 !inf "Become leader"
server2-0072 role=LEADER    term=384 !inf "Become leader"
server2-0073 role=LEADER    term=386 !inf "Become leader"
  time = 6000 client requests seen = [{1, 19}, {2, 224}, {3, 3}, {5, 129}]
  time = 6000      db updates done = [{1, 347}, {2, 347}, {3, 347}, {4, 347}, {5, 347}]

  time = 6500 client requests seen = [{1, 19}, {2, 343}, {3, 3}, {5, 129}]
  time = 6500      db updates done = [{1, 465}, {2, 465}, {3, 460}, {4, 460}, {5, 460}]

server1-0013 role=LEADER    term=388 !inf "Become leader"
server5-0031 role=LEADER    term=390 !inf "Become leader"
server1-0014 role=LEADER    term=392 !inf "Become leader"
server3-0026 role=LEADER    term=394 !inf "Become leader"
server2-0074 role=LEADER    term=399 !inf "Become leader"
server2-0075 role=LEADER    term=402 !inf "Become leader"
server1-0015 role=LEADER    term=404 !inf "Become leader"
server2-0076 role=LEADER    term=408 !inf "Become leader"
server4-0031 role=LEADER    term=410 !inf "Become leader"
server2-0077 role=LEADER    term=411 !inf "Become leader"
server2-0078 role=LEADER    term=412 !inf "Become leader"
server3-0027 role=LEADER    term=413 !inf "Become leader"
server1-0016 role=LEADER    term=415 !inf "Become leader"
server4-0032 role=LEADER    term=417 !inf "Become leader"
server2-0079 role=LEADER    term=418 !inf "Become leader"
server2-0080 role=LEADER    term=419 !inf "Become leader"
server4-0033 role=LEADER    term=421 !inf "Become leader"
server5-0032 role=LEADER    term=423 !inf "Become leader"
server4-0034 role=LEADER    term=425 !inf "Become leader"
  time = 7000 client requests seen = [{1, 21}, {2, 345}, {3, 3}, {5, 129}]
  time = 7000      db updates done = [{1, 466}, {2, 466}, {3, 466}, {4, 466}, {5, 466}]

server5-0033 role=LEADER    term=435 !inf "Become leader"
server2-0081 role=LEADER    term=436 !inf "Become leader"
