mix compile
-------------------------------------------------------------------
  time = 500 client requests seen = []
  time = 500      db updates done = []
server2-0035 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0035 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0035 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0036 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0036 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0036 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0037 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0037 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0037 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0038 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0038 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0038 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0039 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0039 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0039 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0040 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0040 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0040 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0041 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0041 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0041 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0042 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0042 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0042 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0043 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0043 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0043 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0044 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0044 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0044 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0045 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0045 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0045 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0046 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0046 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0046 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0047 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0047 role=LEADER    term=002 -arep "Count of entry committed = 1"
